keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,n
health and family stresses,health and family stresses,zdrowie and rodzina stresses,app_sem_0699,no_semantic_change,token_partial_review,medium,translation_review,1
health anxiety to covid-19,health anxiety to covid-19,zdrowie lęk to covid-19,app_sem_0701,no_semantic_change,token_partial_review,medium,translation_review,1
health behaviour,health behavior,zachowanie zdrowotne,app_sem_0702,exact_map:health behaviour->health behavior,glossary_exact,high,semantic_merge_audit,1
health care providers,health care providers,zdrowie care providers,app_sem_0703,no_semantic_change,token_partial_review,medium,translation_review,1
health care workers,health care workers,zdrowie care workers,app_sem_0704,no_semantic_change,token_partial_review,medium,translation_review,1
health care workers (hcws),health care workers (hcws),zdrowie care workers (hcws),app_sem_0705,no_semantic_change,token_partial_review,medium,translation_review,1
health food,health food,zdrowie food,app_sem_0706,no_semantic_change,token_partial_review,medium,translation_review,1
health workers,health workers,zdrowie workers,app_sem_0708,no_semantic_change,token_partial_review,medium,translation_review,1
health-related behavior,health-related behavior,zdrowie-related behavior,app_sem_0709,no_semantic_change,token_partial_review,medium,translation_review,1
health-related quality of life,health related quality of life,jakość życia związana ze zdrowiem,app_sem_0707,exact_map:health-related quality of life->health related quality of life,glossary_exact,high,semantic_merge_audit,1
healthcare professionals,healthcare professionals,healthcare professionals,app_sem_0710,no_semantic_change,untranslated_review,low,translation_review,1
healthy subjects,healthy subjects,healthy subjects,app_sem_0711,no_semantic_change,untranslated_review,low,translation_review,1
heart transplantation,heart transplantation,heart transplantation,app_sem_0713,no_semantic_change,untranslated_review,low,translation_review,1
helplessness,helplessness,helplessness,app_sem_0714,no_semantic_change,untranslated_review,low,translation_review,1
hemodialysis,hemodialysis,hemodialysis,app_sem_0715,no_semantic_change,untranslated_review,low,translation_review,1
hepatitis c,hepatitis c,hepatitis c,app_sem_0716,no_semantic_change,untranslated_review,low,translation_review,1
hh,hh,hh,app_sem_0717,no_semantic_change,untranslated_review,low,translation_review,1
high sensitive c-reactive protein,high sensitive c-reactive protein,high sensitive c-reactive protein,app_sem_0718,no_semantic_change,untranslated_review,low,translation_review,1
high-interval intensity training,high-interval intensity training,high-interval intensity training,app_sem_0719,no_semantic_change,untranslated_review,low,translation_review,1
history of polish psychiatry,history of polish psychiatry,history of polish psychiatria,app_sem_0720,no_semantic_change,token_partial_review,medium,translation_review,1
hj,hj,hj,app_sem_0723,no_semantic_change,untranslated_review,low,translation_review,1
home care services,home care services,home care services,app_sem_0725,no_semantic_change,untranslated_review,low,translation_review,1
homicide,homicide,homicide,app_sem_0726,no_semantic_change,untranslated_review,low,translation_review,1
hospitalisations,hospitalisations,hospitalisations,app_sem_0729,no_semantic_change,untranslated_review,low,translation_review,1
hpa axis,hpa axis,hpa axis,app_sem_0731,no_semantic_change,untranslated_review,low,translation_review,1
hplc,hplc,hplc,app_sem_0732,no_semantic_change,untranslated_review,low,translation_review,1
hrt in child trichotillomania,hrt in child trichotillomania,hrt in dziecko trichotillomania,app_sem_0733,no_semantic_change,token_partial_review,medium,translation_review,1
human destructiveness,human destructiveness,human destructiveness,app_sem_0734,no_semantic_change,untranslated_review,low,translation_review,1
humour in psychotherapy,humor in psychotherapy,humor in psychoterapia,app_sem_0735,spelling:humour->humor,token_partial_review,medium,translation_review|semantic_merge_audit,1
humour style,humor style,styl humoru,app_sem_0736,exact_map:humour style->humor style,glossary_exact,high,semantic_merge_audit,1
humour styles,humor style,styl humoru,app_sem_0736,exact_map:humour styles->humor style,glossary_exact,high,semantic_merge_audit,1
hunger strike,hunger strike,hunger strike,app_sem_0737,no_semantic_change,untranslated_review,low,translation_review,1
hyperprolactinemia,hyperprolactinemia,hyperprolactinemia,app_sem_0738,no_semantic_change,untranslated_review,low,translation_review,1
hypertension-mediated organ damage,hypertension-mediated organ damage,hypertension-mediated organ damage,app_sem_0740,no_semantic_change,untranslated_review,low,translation_review,1
hyperthymic,hyperthymic,hyperthymic,app_sem_0741,no_semantic_change,untranslated_review,low,translation_review,1
hyperthyroidism,hyperthyroidism,hyperthyroidism,app_sem_0742,no_semantic_change,untranslated_review,low,translation_review,1
hypnoanalysis,hypnoanalysis,hypnoanalysis,app_sem_0743,no_semantic_change,untranslated_review,low,translation_review,1
hypochondriasis,hypochondriasis,hypochondriasis,app_sem_0745,no_semantic_change,untranslated_review,low,translation_review,1
hypomania check list-32,hypomania check list-32,hypomania check list-32,app_sem_0746,no_semantic_change,untranslated_review,low,translation_review,1
hypothyroidism,hypothyroidism,hypothyroidism,app_sem_0747,no_semantic_change,untranslated_review,low,translation_review,1
i agree,i agree,i agree,app_sem_0748,no_semantic_change,untranslated_review,low,translation_review,1
i do not agree,i do not agree,i do not agree,app_sem_0749,no_semantic_change,untranslated_review,low,translation_review,1
icd,icd,icd,app_sem_0750,no_semantic_change,untranslated_review,low,translation_review,1
idealization,idealization,idealization,app_sem_0752,no_semantic_change,untranslated_review,low,translation_review,1
identification,identification,identification,app_sem_0753,no_semantic_change,untranslated_review,low,translation_review,1
identity quest,identity quest,identity quest,app_sem_0755,no_semantic_change,untranslated_review,low,translation_review,1
igf1/2,igf1/2,igf1/2,app_sem_0756,no_semantic_change,untranslated_review,low,translation_review,1
igfbp1-6,igfbp1-6,igfbp1-6,app_sem_0757,no_semantic_change,untranslated_review,low,translation_review,1
illness anxiety disorder,illness anxiety disorder,illness anxiety disorder,app_sem_0758,no_semantic_change,untranslated_review,low,translation_review,1
imaginary and symbolic elaboration,imaginary and symbolic elaboration,imaginary and symbolic elaboration,app_sem_0759,no_semantic_change,untranslated_review,low,translation_review,1
immunology,immunology,immunology,app_sem_0760,no_semantic_change,untranslated_review,low,translation_review,1
impact of event scale-revisited,impact of event scale-revisited,impact of event skala-revisited,app_sem_0761,no_semantic_change,token_partial_review,medium,translation_review,1
impasse,impasse,impasse,app_sem_0762,no_semantic_change,untranslated_review,low,translation_review,1
impulsive and restrictive behaviours,impulsive and restrictive behaviors,impulsive and restrictive behaviors,app_sem_0763,spelling:behaviour->behavior,untranslated_review,low,translation_review|semantic_merge_audit,1
impulsiveness,impulsiveness,impulsiveness,app_sem_0764,no_semantic_change,untranslated_review,low,translation_review,1
incapacity for service,incapacity for service,incapacity for service,app_sem_0766,no_semantic_change,untranslated_review,low,translation_review,1
incest,incest,incest,app_sem_0767,no_semantic_change,untranslated_review,low,translation_review,1
incompetence/incapacity,incompetence/incapacity,incompetence/incapacity,app_sem_0768,no_semantic_change,untranslated_review,low,translation_review,1
indications to the therapy,indications to the therapy,indications to the terapia,app_sem_0770,no_semantic_change,token_partial_review,medium,translation_review,1
indigenous peoples of the north siberia,indigenous peoples of the north siberia,indigenous peoples of the north siberia,app_sem_0771,no_semantic_change,untranslated_review,low,translation_review,1
indirect exposure to trauma,indirect exposure to trauma,indirect exposure to trauma,app_sem_0772,no_semantic_change,token_partial_review,medium,translation_review,1
individual barriers to taking medications,individual barriers to taking medications,individual barriers to taking medications,app_sem_0773,no_semantic_change,untranslated_review,low,translation_review,1
individual differences,individual differences,individual differences,app_sem_0774,no_semantic_change,untranslated_review,low,translation_review,1
individual memory,individual memory,individual memory,app_sem_0775,no_semantic_change,untranslated_review,low,translation_review,1
infant,infant,infant,app_sem_0776,no_semantic_change,untranslated_review,low,translation_review,1
infant observation,infant observation,infant observation,app_sem_0777,no_semantic_change,untranslated_review,low,translation_review,1
infants and toddlers psychotherapy,infants and toddlers psychotherapy,infants and toddlers psychoterapia,app_sem_0778,no_semantic_change,token_partial_review,medium,translation_review,1
infectious diseases,infectious diseases,infectious diseases,app_sem_0779,no_semantic_change,untranslated_review,low,translation_review,1
inference,inference,inference,app_sem_0780,no_semantic_change,untranslated_review,low,translation_review,1
information resource,information resource,information resource,app_sem_0783,no_semantic_change,untranslated_review,low,translation_review,1
inhibitory iu,inhibitory iu,inhibitory iu,app_sem_0784,no_semantic_change,untranslated_review,low,translation_review,1
inmates,inmates,inmates,app_sem_0785,no_semantic_change,untranslated_review,low,translation_review,1
inner harmony,inner harmony,inner harmony,app_sem_0786,no_semantic_change,untranslated_review,low,translation_review,1
innovations,innovations,innovations,app_sem_0787,no_semantic_change,untranslated_review,low,translation_review,1
instinct,instinct,instinct,app_sem_0789,no_semantic_change,untranslated_review,low,translation_review,1
instinctive traits,instinctive traits,instinctive traits,app_sem_0790,no_semantic_change,untranslated_review,low,translation_review,1
insulin pump,insulin pump,insulin pump,app_sem_0791,no_semantic_change,untranslated_review,low,translation_review,1
